timestamp,band,millis,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,sysCal,gyroCal,accelCal,magCal,label
2026-03-01T21:04:56.071Z,ARM,306324,0.985,-0.014,0.131,0.109,-0.940,-0.100,-0.600,-0.180,0.064,0.058,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.091Z,FOOT,457363,-0.561,-0.068,-0.098,0.819,0.020,-0.250,0.010,0.080,-0.082,0.082,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.092Z,FOOT,457383,-0.562,-0.068,-0.097,0.819,-0.050,0.000,0.020,0.091,-0.040,0.133,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.092Z,ARM,306344,0.985,-0.016,0.131,0.110,-0.870,-0.170,-0.570,-0.200,0.082,0.072,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.093Z,ARM,306364,0.985,-0.018,0.132,0.111,-0.840,-0.320,-0.370,-0.277,0.116,-0.025,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.116Z,FOOT,457403,-0.562,-0.069,-0.096,0.818,-0.150,0.020,0.170,0.134,0.013,0.104,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.131Z,ARM,306384,0.984,-0.022,0.135,0.111,-0.550,-0.270,-0.080,-0.335,0.146,-0.099,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.150Z,FOOT,457423,-0.563,-0.070,-0.095,0.818,0.310,-0.440,-0.080,0.209,0.049,0.047,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.151Z,FOOT,457443,-0.563,-0.072,-0.094,0.818,0.130,-0.420,-0.070,0.266,0.103,0.091,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.152Z,ARM,306404,0.984,-0.026,0.137,0.110,-0.470,-0.060,0.130,-0.361,0.140,-0.140,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.153Z,ARM,306424,0.984,-0.030,0.138,0.109,-0.070,0.400,0.420,-0.396,0.082,-0.128,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.174Z,FOOT,457463,-0.564,-0.075,-0.092,0.818,0.060,-0.400,-0.130,0.324,0.139,0.133,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.194Z,ARM,306444,0.984,-0.034,0.138,0.108,0.100,0.180,0.550,-0.384,0.065,-0.094,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.214Z,FOOT,457483,-0.564,-0.078,-0.090,0.817,0.130,-0.500,0.000,0.368,0.137,0.151,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.215Z,FOOT,457503,-0.565,-0.080,-0.088,0.816,-1.010,1.210,0.150,0.312,0.120,0.169,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.215Z,ARM,306464,0.984,-0.038,0.138,0.108,0.000,0.450,0.650,-0.428,0.037,-0.048,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.216Z,ARM,306484,0.984,-0.042,0.138,0.108,-0.430,0.380,0.500,-0.432,0.043,0.065,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.239Z,FOOT,457523,-0.566,-0.083,-0.086,0.816,-0.540,0.360,-0.010,0.312,0.075,0.069,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.240Z,ARM,306504,0.983,-0.046,0.138,0.110,-0.550,0.310,0.580,-0.448,0.058,0.122,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.262Z,FOOT,457543,-0.566,-0.085,-0.083,0.816,0.000,-0.370,-0.110,0.359,-0.009,0.043,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.263Z,FOOT,457563,-0.566,-0.087,-0.080,0.816,0.020,-0.280,-0.120,0.374,-0.016,0.134,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.286Z,ARM,306524,0.983,-0.051,0.138,0.112,-0.750,0.060,0.530,-0.519,0.070,0.190,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.286Z,ARM,306544,0.982,-0.056,0.138,0.115,-0.730,-0.020,0.460,-0.531,0.053,0.215,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.309Z,FOOT,457583,-0.567,-0.089,-0.077,0.815,-0.030,-0.150,0.050,0.404,-0.010,0.184,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.310Z,ARM,306564,0.982,-0.060,0.138,0.118,-0.900,0.080,-0.090,-0.527,-0.052,0.290,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.332Z,FOOT,457603,-0.569,-0.092,-0.073,0.814,-0.150,-0.130,-0.030,0.448,-0.007,0.203,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.333Z,FOOT,457623,-0.570,-0.094,-0.069,0.814,-0.040,-0.280,-0.040,0.513,-0.025,0.188,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.334Z,ARM,306584,0.981,-0.065,0.137,0.121,-1.130,0.540,-0.640,-0.529,-0.108,0.290,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.334Z,ARM,306604,0.980,-0.069,0.135,0.125,-1.380,0.780,-0.990,-0.544,-0.128,0.328,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.357Z,FOOT,457643,-0.571,-0.097,-0.065,0.813,0.140,-0.380,0.050,0.543,-0.020,0.253,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.362Z,ARM,306624,0.980,-0.074,0.134,0.130,-1.720,0.920,-1.330,-0.620,-0.098,0.627,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.383Z,FOOT,457663,-0.573,-0.100,-0.060,0.811,0.190,-0.390,-0.010,0.562,0.016,0.321,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.384Z,FOOT,457683,-0.575,-0.104,-0.056,0.810,0.030,-0.260,0.020,0.589,0.031,0.347,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.402Z,ARM,306644,0.978,-0.079,0.133,0.138,-1.820,0.650,-1.540,-0.638,-0.071,0.745,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.423Z,FOOT,457703,-0.577,-0.107,-0.051,0.808,-0.130,-0.090,0.130,0.624,0.037,0.359,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.423Z,ARM,306664,0.977,-0.084,0.132,0.143,-1.040,-0.650,-1.590,-0.821,-0.022,0.806,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.424Z,ARM,306684,0.975,-0.091,0.132,0.151,-0.680,-0.750,-1.750,-0.917,-0.077,0.567,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.446Z,FOOT,457723,-0.579,-0.112,-0.045,0.807,-0.100,0.010,-0.020,0.659,0.040,0.367,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.447Z,FOOT,457743,-0.581,-0.116,-0.040,0.805,-0.160,-0.270,-0.020,0.710,0.012,0.368,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.453Z,ARM,306704,0.974,-0.099,0.130,0.156,-0.570,-0.530,-2.090,-0.908,-0.081,0.497,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.474Z,FOOT,457763,-0.583,-0.120,-0.033,0.803,-0.290,-0.220,0.090,0.755,-0.084,0.399,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.492Z,ARM,306724,0.973,-0.107,0.128,0.162,-0.660,-0.270,-2.370,-0.870,-0.081,0.627,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.492Z,ARM,306744,0.971,-0.114,0.127,0.170,-1.070,-0.060,-2.560,-0.873,-0.092,0.762,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.515Z,FOOT,457783,-0.586,-0.123,-0.026,0.801,-0.320,-0.220,0.020,0.755,-0.197,0.457,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.515Z,FOOT,457803,-0.588,-0.125,-0.018,0.799,-0.730,-0.820,0.470,0.783,-0.325,0.476,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.516Z,ARM,306764,0.968,-0.121,0.126,0.181,-2.590,-0.310,-2.450,-0.956,-0.011,1.326,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.539Z,FOOT,457823,-0.591,-0.126,-0.009,0.797,-0.800,-1.050,-0.400,0.760,-0.544,0.429,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.539Z,ARM,306784,0.964,-0.128,0.126,0.195,-3.980,-0.560,-1.690,-1.083,0.227,1.798,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.540Z,ARM,306804,0.959,-0.137,0.129,0.214,-4.870,-0.730,-0.100,-1.121,0.371,2.055,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.563Z,FOOT,457843,-0.593,-0.125,0.001,0.795,-1.900,-0.040,0.230,0.692,-0.598,0.367,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.564Z,FOOT,457863,-0.595,-0.125,0.009,0.794,-1.670,0.300,0.900,0.612,-0.547,0.274,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.586Z,ARM,306824,0.951,-0.145,0.135,0.236,-4.390,-0.220,1.160,-0.802,0.764,2.526,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.586Z,ARM,306844,0.943,-0.149,0.145,0.259,-3.680,-1.100,2.270,-0.550,0.918,2.596,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.607Z,FOOT,457883,-0.593,-0.125,0.016,0.795,-7.760,-2.460,0.130,0.568,-0.227,0.097,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.608Z,ARM,306864,0.934,-0.151,0.159,0.283,-2.160,-3.170,2.780,-0.340,1.430,2.925,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.629Z,FOOT,457903,-0.592,-0.128,0.020,0.796,-5.760,-2.770,1.650,0.471,0.011,-0.273,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.630Z,FOOT,457923,-0.584,-0.134,0.021,0.801,-12.090,-9.230,1.580,0.475,0.562,-1.104,3,3,3,3,Kniebeuge
2026-03-01T21:04:56.631Z,ARM,306884,0.922,-0.154,0.176,0.307,-1.350,-5.560,3.960,-0.244,1.599,2.359,3,3,0,3,Kniebeuge
2026-03-01T21:04:56.632Z,ARM,306904,0.913,-0.157,0.193,0.324,-2.500,-8.500,3.900,-0.043,1.664,1.635,3,3,0,3,Kniebeuge
