timestamp,band,millis,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,sysCal,gyroCal,accelCal,magCal,label
2026-03-01T21:05:25.098Z,FOOT,486383,-0.540,-0.050,-0.058,0.838,-0.230,0.170,0.120,-0.021,0.191,-0.065,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.104Z,ARM,335364,0.998,-0.038,-0.042,0.029,-0.470,-0.190,0.270,-0.086,0.013,-0.062,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.127Z,FOOT,486403,-0.539,-0.052,-0.059,0.838,-0.080,0.070,0.200,-0.025,0.239,-0.075,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.128Z,FOOT,486423,-0.539,-0.054,-0.061,0.838,-0.210,0.360,0.120,-0.077,0.309,-0.038,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.147Z,ARM,335384,0.998,-0.039,-0.042,0.028,-0.660,-0.300,0.240,-0.141,0.050,-0.123,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.148Z,ARM,335404,0.998,-0.041,-0.041,0.026,-0.900,-0.410,-0.010,-0.197,0.086,-0.168,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.154Z,FOOT,486443,-0.538,-0.057,-0.064,0.839,0.020,0.280,0.030,-0.088,0.363,-0.089,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.173Z,ARM,335424,0.998,-0.043,-0.040,0.024,-0.960,-0.620,0.050,-0.308,0.137,-0.163,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.195Z,FOOT,486463,-0.537,-0.060,-0.066,0.839,-0.380,0.220,0.010,-0.083,0.416,-0.175,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.196Z,ARM,335444,0.998,-0.047,-0.038,0.022,-1.030,-0.820,0.510,-0.443,0.192,-0.190,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.198Z,ARM,335464,0.998,-0.052,-0.036,0.020,-1.160,-1.050,0.790,-0.545,0.291,-0.264,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.222Z,FOOT,486483,-0.534,-0.063,-0.069,0.840,-0.180,0.140,0.000,-0.039,0.406,-0.253,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.223Z,FOOT,486503,-0.532,-0.066,-0.072,0.841,0.010,-0.010,-0.100,-0.052,0.427,-0.207,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.225Z,ARM,335484,0.998,-0.058,-0.033,0.016,-1.380,-0.940,0.770,-0.603,0.401,-0.364,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.249Z,FOOT,486523,-0.531,-0.069,-0.075,0.841,-0.400,0.010,-0.290,-0.063,0.401,-0.165,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.256Z,ARM,335504,0.997,-0.064,-0.029,0.011,-1.660,-0.850,0.740,-0.661,0.492,-0.422,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.257Z,ARM,335524,0.997,-0.071,-0.023,0.007,-2.000,-0.620,0.880,-0.774,0.612,-0.428,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.278Z,FOOT,486543,-0.529,-0.071,-0.076,0.842,-0.370,-0.070,-0.180,0.016,0.274,-0.217,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.279Z,FOOT,486563,-0.527,-0.073,-0.077,0.843,-0.500,0.130,-0.070,0.044,0.158,-0.201,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.280Z,ARM,335544,0.997,-0.080,-0.017,0.002,-1.880,-1.170,1.230,-0.927,0.735,-0.401,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.307Z,FOOT,486583,-0.526,-0.074,-0.077,0.844,-0.100,-0.350,-0.050,0.062,0.094,-0.142,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.308Z,FOOT,486603,-0.525,-0.075,-0.077,0.844,-0.240,-0.040,0.050,0.056,0.083,-0.064,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.314Z,ARM,335564,0.996,-0.090,-0.010,-0.003,-1.570,-1.680,1.570,-1.113,0.793,-0.463,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.315Z,ARM,335584,0.995,-0.102,-0.002,-0.010,-1.200,-1.560,1.540,-1.241,0.802,-0.634,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.336Z,FOOT,486623,-0.525,-0.076,-0.077,0.844,-0.370,0.030,0.130,0.077,0.084,-0.004,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.341Z,ARM,335604,0.993,-0.113,0.005,-0.017,-0.810,-1.510,1.090,-1.214,0.778,-0.725,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.368Z,FOOT,486643,-0.524,-0.077,-0.077,0.844,0.080,-0.400,0.030,0.134,0.124,0.019,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.368Z,FOOT,486663,-0.524,-0.080,-0.077,0.844,-0.080,-0.160,0.120,0.177,0.203,0.043,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.389Z,ARM,335624,0.992,-0.125,0.011,-0.025,-0.470,-1.180,0.500,-1.224,0.656,-0.687,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.390Z,ARM,335644,0.990,-0.137,0.015,-0.031,-0.400,0.150,0.250,-1.254,0.518,-0.624,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.396Z,FOOT,486683,-0.524,-0.083,-0.077,0.844,-0.200,0.090,0.250,0.216,0.301,0.010,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.417Z,ARM,335664,0.988,-0.147,0.020,-0.037,-0.420,2.060,-0.410,-1.023,0.473,-0.490,3,3,0,3,Hampelmanner
2026-03-01T21:05:25.442Z,FOOT,486703,-0.523,-0.088,-0.077,0.844,0.090,-0.020,0.320,0.241,0.435,-0.046,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.442Z,FOOT,486723,-0.522,-0.093,-0.078,0.844,0.010,0.010,0.360,0.214,0.616,-0.060,3,3,3,3,Hampelmanner
2026-03-01T21:05:25.443Z,ARM,335684,0.987,-0.154,0.024,-0.040,-0.660,3.020,-0.570,-0.670,0.403,-0.286,3,3,0,3,Hampelmanner
