timestamp,band,millis,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,sysCal,gyroCal,accelCal,magCal,label
2026-03-01T21:06:46.548Z,FOOT,567823,-0.543,-0.055,-0.050,0.836,-0.120,0.330,0.340,-0.017,0.070,0.051,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.549Z,FOOT,567843,-0.544,-0.055,-0.051,0.836,-0.490,0.650,0.580,-0.029,0.132,0.067,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.558Z,ARM,416804,0.987,-0.008,0.002,0.162,-0.110,0.070,0.000,-0.007,-0.004,-0.035,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.559Z,ARM,416824,0.987,-0.008,0.002,0.162,-0.090,0.070,0.200,-0.014,0.010,-0.056,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.583Z,FOOT,567863,-0.544,-0.057,-0.052,0.836,-0.880,1.520,0.700,-0.057,0.211,0.021,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.584Z,ARM,416844,0.987,-0.008,0.002,0.161,-0.040,0.240,0.180,-0.020,0.010,-0.092,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.614Z,FOOT,567883,-0.543,-0.059,-0.054,0.836,-1.090,1.690,0.580,-0.037,0.296,-0.120,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.615Z,FOOT,567903,-0.541,-0.062,-0.056,0.837,-1.740,2.380,0.350,0.051,0.396,-0.350,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.615Z,ARM,416864,0.987,-0.008,0.002,0.160,-0.010,0.390,0.120,-0.001,0.019,-0.118,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.616Z,ARM,416884,0.987,-0.008,0.002,0.159,0.040,0.590,0.080,0.010,0.020,-0.123,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.647Z,FOOT,567923,-0.535,-0.066,-0.057,0.840,-2.370,3.100,0.370,0.214,0.533,-0.705,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.648Z,ARM,416904,0.987,-0.008,0.003,0.158,0.070,0.710,0.190,0.022,0.016,-0.100,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.678Z,FOOT,567943,-0.525,-0.073,-0.058,0.846,-2.790,4.140,-0.230,0.502,0.671,-1.341,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.680Z,FOOT,567963,-0.509,-0.083,-0.057,0.855,-4.160,7.440,-1.640,0.961,0.897,-1.962,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.680Z,ARM,416924,0.988,-0.008,0.003,0.157,-0.080,0.860,0.220,0.022,0.027,-0.013,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.681Z,ARM,416944,0.987,-0.008,0.003,0.158,0.240,0.850,0.280,0.025,0.050,0.152,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.713Z,FOOT,567983,-0.485,-0.095,-0.053,0.868,-0.710,3.380,0.280,1.299,0.868,-2.903,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.714Z,ARM,416964,0.987,-0.007,0.004,0.161,0.270,0.560,-0.080,0.029,0.065,0.307,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.745Z,FOOT,568003,-0.458,-0.107,-0.048,0.881,0.970,0.950,0.500,1.347,0.873,-2.971,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.746Z,FOOT,568023,-0.432,-0.118,-0.045,0.893,3.330,-3.840,0.660,1.142,0.840,-2.673,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.747Z,ARM,416984,0.986,-0.007,0.004,0.164,0.330,0.690,-0.110,-0.005,0.051,0.311,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.747Z,ARM,417004,0.986,-0.006,0.005,0.165,0.600,0.250,-0.140,0.058,0.079,0.101,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.756Z,FOOT,568043,-0.411,-0.127,-0.043,0.901,3.120,-4.960,-0.810,0.812,0.701,-2.124,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.782Z,ARM,417024,0.986,-0.006,0.006,0.165,0.630,0.700,0.110,0.084,0.085,-0.120,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.789Z,FOOT,568063,-0.395,-0.134,-0.042,0.908,2.360,-5.850,-2.600,0.597,0.552,-1.674,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.790Z,FOOT,568083,-0.381,-0.139,-0.041,0.913,3.240,-5.510,-2.100,0.398,0.280,-1.347,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.815Z,ARM,417044,0.987,-0.004,0.006,0.162,0.240,0.730,0.120,0.101,0.085,-0.391,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.816Z,ARM,417064,0.988,-0.003,0.008,0.156,-0.060,0.430,0.260,0.074,0.194,-0.645,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.816Z,FOOT,568103,-0.373,-0.139,-0.040,0.917,5.390,-5.220,0.640,0.124,-0.063,-0.813,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.853Z,ARM,417084,0.989,-0.003,0.011,0.148,-0.090,-0.310,0.350,0.025,0.262,-0.928,3,3,0,3,Montain climbers 
2026-03-01T21:06:46.854Z,FOOT,568123,-0.371,-0.136,-0.042,0.918,5.040,-5.090,2.310,-0.190,-0.277,-0.362,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.855Z,FOOT,568143,-0.370,-0.133,-0.043,0.918,-0.400,1.630,1.090,-0.204,-0.291,-0.069,3,3,3,3,Montain climbers 
2026-03-01T21:06:46.855Z,ARM,417104,0.991,-0.004,0.014,0.137,-0.590,0.390,0.650,-0.016,0.335,-1.372,3,3,0,3,Montain climbers 
