timestamp,band,millis,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,sysCal,gyroCal,accelCal,magCal,label
2026-03-01T21:07:33.096Z,FOOT,614363,-0.531,-0.106,-0.107,0.834,-0.210,-0.010,0.020,-0.005,-0.011,-0.011,3,3,3,3,Rauschen
2026-03-01T21:07:33.097Z,ARM,463344,0.870,0.040,-0.147,-0.469,-0.180,0.140,-0.020,-0.005,0.004,-0.059,3,3,0,3,Rauschen
2026-03-01T21:07:33.107Z,FOOT,614383,-0.531,-0.106,-0.107,0.834,-0.190,0.010,0.010,-0.003,-0.001,-0.013,3,3,3,3,Rauschen
2026-03-01T21:07:33.108Z,FOOT,614403,-0.531,-0.106,-0.107,0.834,-0.180,0.000,0.050,0.000,-0.007,-0.013,3,3,3,3,Rauschen
2026-03-01T21:07:33.133Z,ARM,463364,0.870,0.040,-0.147,-0.470,-0.140,0.150,-0.100,0.020,0.012,-0.045,3,3,0,3,Rauschen
2026-03-01T21:07:33.134Z,ARM,463384,0.869,0.040,-0.147,-0.470,-0.010,0.110,-0.060,0.040,0.000,-0.015,3,3,0,3,Rauschen
2026-03-01T21:07:33.142Z,FOOT,614423,-0.531,-0.106,-0.107,0.834,-0.220,0.000,0.020,0.003,-0.001,-0.017,3,3,3,3,Rauschen
2026-03-01T21:07:33.143Z,ARM,463404,0.869,0.041,-0.147,-0.470,0.050,0.090,0.010,0.052,-0.012,0.010,3,3,0,3,Rauschen
2026-03-01T21:07:33.170Z,FOOT,614443,-0.531,-0.106,-0.107,0.834,-0.200,0.000,-0.010,0.002,0.000,-0.015,3,3,3,3,Rauschen
2026-03-01T21:07:33.171Z,FOOT,614463,-0.531,-0.106,-0.107,0.834,-0.250,-0.020,0.050,0.005,-0.001,-0.007,3,3,3,3,Rauschen
2026-03-01T21:07:33.181Z,ARM,463424,0.869,0.041,-0.148,-0.470,0.100,-0.020,-0.060,0.071,-0.012,0.017,3,3,0,3,Rauschen
2026-03-01T21:07:33.181Z,ARM,463444,0.869,0.042,-0.148,-0.470,0.040,-0.090,-0.130,0.083,-0.010,0.021,3,3,0,3,Rauschen
2026-03-01T21:07:33.209Z,FOOT,614483,-0.531,-0.106,-0.107,0.834,-0.270,0.020,0.000,0.008,-0.001,-0.003,3,3,3,3,Rauschen
2026-03-01T21:07:33.210Z,ARM,463464,0.870,0.042,-0.149,-0.469,0.060,-0.180,-0.200,0.084,-0.019,0.038,3,3,0,3,Rauschen
2026-03-01T21:07:33.244Z,FOOT,614503,-0.531,-0.106,-0.107,0.834,-0.250,-0.020,-0.040,0.010,-0.010,-0.001,3,3,3,3,Rauschen
2026-03-01T21:07:33.245Z,FOOT,614523,-0.531,-0.106,-0.107,0.834,-0.210,0.000,-0.020,0.008,-0.017,0.002,3,3,3,3,Rauschen
2026-03-01T21:07:33.246Z,ARM,463484,0.870,0.043,-0.150,-0.468,0.140,-0.260,-0.130,0.059,-0.041,0.055,3,3,0,3,Rauschen
2026-03-01T21:07:33.247Z,ARM,463504,0.870,0.042,-0.150,-0.468,0.170,-0.330,-0.120,0.033,-0.043,0.039,3,3,0,3,Rauschen
2026-03-01T21:07:33.256Z,FOOT,614543,-0.531,-0.106,-0.107,0.834,-0.210,0.030,0.050,0.001,-0.017,0.010,3,3,3,3,Rauschen
2026-03-01T21:07:33.284Z,ARM,463524,0.870,0.042,-0.151,-0.468,0.150,-0.270,-0.160,0.003,-0.033,-0.020,3,3,0,3,Rauschen
2026-03-01T21:07:33.292Z,FOOT,614563,-0.531,-0.106,-0.107,0.834,-0.240,0.060,0.020,0.001,-0.020,0.009,3,3,3,3,Rauschen
2026-03-01T21:07:33.293Z,FOOT,614583,-0.531,-0.106,-0.107,0.834,-0.170,0.000,0.000,0.005,-0.022,0.009,3,3,3,3,Rauschen
2026-03-01T21:07:33.294Z,ARM,463544,0.870,0.042,-0.151,-0.468,0.100,-0.230,-0.200,-0.021,-0.022,-0.064,3,3,0,3,Rauschen
2026-03-01T21:07:33.294Z,ARM,463564,0.869,0.041,-0.151,-0.469,-0.160,-0.130,-0.220,-0.033,-0.025,-0.073,3,3,0,3,Rauschen
